"","TICKER_LIST","last_trade_price"
"290","ZD","127.13"
"291","ZG","66.17"
"292","ZH","8.37"
"293","ZI","73.65"
"294","ZM","264.7"
"295","ZS","338.49"
"296","ZT","9.77"
"297","ZY","11.04"
"298","AAA","25.035"
"299","AAC","9.82"
"300","AAL","21.82"
"301","AAN","25.6"
"302","AAP","229.73"
"303","AAT","40.09"
"304","AAU","0.381"
"305","ABB","34.53"
"306","ABC","127.57"
"307","ABG","182.07"
"308","ABM","48"
"309","ABR","19.63"
"310","ABT","124.37"
"311","ACA","55.05"
"312","ACB","6.66"
"313","ACC","54.03"
"314","ACH","13.55"
"315","ACI","34.8"
"316","ACM","69.94"
"317","ACN","368.46"
"318","ACP","11.28"
"319","ACR","14.86"
"320","ACT","23.23"
"321","ACU","35.8"
"322","ACV","37.11"
"323","ACY","48.42"
"324","ADC","70.9"
"325","ADF","10.19"
"326","ADI","184.18"
"327","ADM","64.49"
"328","ADN","9.6"
"329","ADP","229.6"
"330","ADS","91.92"
"331","ADT","9.04"
"332","ADV","8.93"
"333","ADX","21.66"
"334","AEE","85.5"
"335","AEF","8.53"
"336","AEG","4.99"
"337","AEI","2.01"
"338","AEL","34.55"
"339","AEM","53.6"
"340","AEO","26.58"
"341","AEP","85.04"
"342","AER","67.5"
"343","AES","24.99"
"344","AEY","2.24"
"345","AFB","14.78"
"346","AFG","142.95"
"347","AFI","2.63"
"348","AFK","21.58"
"349","AFL","56.75"
"350","AFT","16.14"
"351","AGC","11.93"
"352","AGD","12.02"
"353","AGE","0.82"
"354","AGG","115.22"
"355","AGI","7.94"
"356","AGL","24.92"
"357","AGM","133.91"
"358","AGO","55.31"
"359","AGQ","38.03"
"360","AGR","51.45"
"361","AGS","9.85"
"362","AGT","29.9509"
"363","AGX","45.44"
"364","AGZ","118.5"
"365","AHH","15.55"
"366","AHT","15.59"
"367","AIA","79.62"
"368","AIC","25.32"
"369","AIF","15.98"
"370","AIG","58.96"
"371","AIH","4.14"
"372","AIM","1.77"
"373","AIN","88.27"
"374","AIO","28.48"
"375","AIP","21.54"
"376","AIQ","32.68"
"377","AIR","39.39"
"378","AIT","103.15"
"379","AIV","7.88"
"380","AIZ","162.54"
"381","AJG","160.26"
"382","AJX","14.67"
"383","AKA","11.6"
"384","AKR","23.1"
"385","AKU","1.72"
"386","ALB","272.51"
"387","ALC","85.61"
"388","ALE","65.18"
"389","ALF","5.31"
"390","ALG","156.81"
"391","ALK","59.35"
"392","ALL","117.16"
"393","ALT","10.84"
"394","ALV","101.34"
"395","ALX","279.14"
"396","AMC","41.7"
"397","AMD","136.34"
"398","AME","140.94"
"399","AMG","186.04"
"400","AMH","39.87"
"401","AMJ","19.14"
"402","AMK","27.07"
"403","AMN","97.74"
"404","AMP","305.24"
"405","AMR","61.02"
"406","AMS","2.98"
"407","AMT","277.83"
"408","AMX","18.52"
"409","ANF","46.23"
"410","ANY","6.7"
"411","AOA","73.53"
"412","AOD","10.12"
"413","AOK","40.4"
"414","AOM","46"
"415","AON","288.53"
"416","AOR","57.68"
"417","AOS","77.55"
"418","APA","29.9"
"419","APD","309.31"
"420","APG","23.14"
"421","APH","81.44"
"422","API","22.01"
"423","APM","2.45"
"424","APO","76.94"
"425","APP","98.47"
"426","APR","35.75"
"427","APT","5.16"
"428","AQB","3.73"
"429","AQN","14.28"
"430","ARB","26.1038"
"431","ARC","3.02"
"432","ARE","206.22"
"433","ARI","15.64"
"434","ARL","12.012"
"435","ARR","10.87"
"436","ARW","122.19"
"437","ASA","21.2"
"438","ASB","23.01"
"439","ASC","4.12"
"440","ASG","9.7"
"441","ASH","98.1"
"442","ASM","0.963"
"443","ASO","45.98"
"444","ASR","208.59"
"445","ASX","7.25"
"446","ASZ","9.78"
"447","ATA","10.07"
"448","ATC","24.79"
"449","ATH","87.24"
"450","ATI","17.74"
"451","ATO","93.99"
"452","ATR","131.5"
"453","ATY","4.39"
"454","AUB","36.8"
"455","AUD","3.75"
"456","AUR","9.99"
"457","AUS","10.01"
"458","AUY","4.16"
"459","AVA","40.29"
"460","AVB","237.84"
"461","AVD","16.87"
"462","AVK","19.12"
"463","AVO","20.41"
"464","AVT","40.3"
"465","AVY","226.42"
"466","AWF","12.4"
"467","AWH","3.23"
"468","AWI","111.46"
"469","AWK","169.66"
"470","AWP","6.58"
"471","AWR","94.27"
"472","AWX","4"
"473","AXL","9.82"
"474","AXP","176.69"
"475","AXR","14.99"
"476","AXS","53.12"
"477","AXU","1.97"
"478","AYI","215.71"
"479","AYX","79.57"
"480","AZN","63.09"
"481","AZO","1817.94"
"482","AZZ","57.1"
"483","BAB","33.34"
"484","BAC","46.97"
"485","BAH","86.8"
"486","BAK","19.86"
"487","BAL","64.445"
"488","BAM","61.58"
"489","BAP","127.69"
"490","BAR","18.04"
"491","BAX","78.04"
"492","BBC","47.55"
"493","BBD","3.61"
"494","BBH","191.46"
"495","BBI","0.395"
"496","BBL","51.71"
"497","BBN","25.94"
"498","BBP","52.2456"
"499","BBQ","14.31"
"500","BBU","48.94"
"501","BBW","16.07"
"502","BBY","129.07"
"503","BCC","69.74"
"504","BCD","33.66"
"505","BCE","50.84"
"506","BCH","17.94"
"507","BCI","28.63"
"508","BCM","39.1787"
"509","BCO","70.46"
"510","BCS","10.55"
"511","BCV","30.61"
"512","BCX","9.49"
"513","BDC","66.1"
"514","BDJ","10.27"
"515","BDL","29.424"
"516","BDN","14.16"
"517","BDR","1.15"
"518","BDX","243.71"
"519","BEN","35.88"
"520","BEP","39.62"
"521","BFC","73.49"
"522","BFI","8.28"
"523","BFK","15.04"
"524","BFS","51.19"
"525","BFZ","14.84"
"526","BGB","13.97"
"527","BGH","17.15"
"528","BGI","3.1"
"529","BGR","10.19"
"530","BGS","33.22"
"531","BGT","13.72"
"532","BGX","15.32"
"533","BGY","6.33"
"534","BHB","31.57"
"535","BHC","27.98"
"536","BHE","26.17"
"537","BHF","53.96"
"538","BHG","7.55"
"539","BHK","16.52"
"540","BHP","53.42"
"541","BHR","5.64"
"542","BHV","17.868"
"543","BIB","89.93"
"544","BIF","13.56"
"545","BIG","50.89"
"546","BIL","91.44"
"547","BIO","725.61"
"548","BIP","59.65"
"549","BIS","18.63"
"550","BIT","18.95"
"551","BIV","89.49"
"552","BJK","49.57"
"553","BKD","7.57"
"554","BKE","48.44"
"555","BKF","48.3137"
"556","BKH","66.1"
"557","BKI","70.29"
"558","BKN","17.39"
"559","BKR","24.8"
"560","BKT","6.05"
"561","BKU","43.1"
"562","BLD","264.15"
"563","BLE","15.49"
"564","BLI","24.42"
"565","BLK","955.11"
"566","BLL","90.49"
"567","BLU","6.9"
"568","BLV","105.12"
"569","BLW","17.3"
"570","BLX","17.91"
"571","BMA","16.13"
"572","BME","47.84"
"573","BMI","108.89"
"574","BMO","110.62"
"575","BMY","59.45"
"576","BND","85.84"
"577","BNE","31.2104"
"578","BNL","26.59"
"579","BNO","21.98"
"580","BNR","14.72"
"581","BNS","66.6"
"582","BNY","14.86"
"583","BOB","27.892"
"584","BOE","12.28"
"585","BOH","87.36"
"586","BON","6.63"
"587","BOX","26.72"
"588","BPT","4.43"
"589","BRC","55.62"
"590","BRF","17.5413"
"591","BRG","13.4"
"592","BRN","2.6"
"593","BRO","61.97"
"594","BRP","38.17"
"595","BRT","20.92"
"596","BRW","4.69"
"597","BRX","25.51"
"598","BRY","10.06"
"599","BSA","25.17"
"600","BSL","16.79"
"601","BSM","12.16"
"602","BSN","9.945"
"603","BST","55.55"
"604","BSV","81.66"
"605","BSX","43.16"
"606","BSY","58.63"
"607","BTA","13.8"
"608","BTB","1.22"
"609","BTF","24.21"
"610","BTG","4.37"
"611","BTI","34.58"
"612","BTN","3.08"
"613","BTO","45.31"
"614","BTT","25.88"
"615","BTU","11.64"
"616","BTX","9.47"
"617","BTZ","15.22"
"618","BUD","60.78"
"619","BUG","34.06"
"620","BUI","26.28"
"621","BUL","42.6546"
"622","BUR","11.55"
"623","BVH","28.93"
"624","BVN","7.36"
"625","BVS","16.4"
"626","BWA","46.9"
"627","BWB","18.71"
"628","BWC","9.79"
"629","BWG","12.31"
"630","BWX","28.77"
"631","BWZ","30.96"
"632","BXC","69.37"
"633","BXP","116.91"
"634","BYD","67.43"
"635","BYM","15.39"
"636","BZH","18.74"
"637","BZQ","19.21"
"638","CAC","50.17"
"639","CAE","33.41"
"640","CAF","21.12"
"641","CAG","32.59"
"642","CAH","49.54"
"643","CAI","55.95"
"644","CAJ","23.12"
"645","CAL","26.6"
"646","CAN","8.73"
"647","CAR","297.46"
"648","CAS","9.97"
"649","CAT","205.88"
"650","CBD","4.22"
"651","CBH","10.63"
"652","CBL","32.5"
"653","CBT","58.28"
"654","CBU","74.82"
"655","CBZ","40.19"
"656","CCB","40.1"
"657","CCD","33.22"
"658","CCF","106.43"
"659","CCI","180.13"
"660","CCJ","26.99"
"661","CCK","106.97"
"662","CCL","24.79"
"663","CCM","2.53"
"664","CCO","3.3"
"665","CCS","69.55"
"666","CCU","18.52"
"667","CCV","9.91"
"668","CDC","67.79"
"669","CDE","6.94"
"670","CDK","43.93"
"671","CDL","59.4794"
"672","CDR","22.93"
"673","CDW","187.07"
"674","CEA","18.57"
"675","CEE","30.79"
"676","CEF","18.04"
"677","CEI","1.32"
"678","CEM","29.91"
"679","CEN","15.24"
"680","CET","44.8"
"681","CEV","14.14"
"682","CEW","17.79"
"683","CEY","23.8187"
"684","CFA","76.17"
"685","CFB","15.24"
"686","CFG","47.79"
"687","CFO","76.27"
"688","CFR","135.1"
"689","CFV","9.94"
"690","CFX","52.97"
"691","CGA","11.95"
"692","CGC","11.79"
"693","CGO","16.1265"
"694","CGW","60.18"
"695","CHB","14.9589"
"696","CHD","88.78"
"697","CHE","496.33"
"698","CHH","148.83"
"699","CHI","16.25"
"700","CHK","65.82"
"701","CHN","25.96"
"702","CHS","6.24"
"703","CHT","39.42"
"704","CHW","10.54"
"705","CHX","26.86"
"706","CHY","16.955"
"707","CIA","6.87"
"708","CIB","34.4"
"709","CID","32.4054"
"710","CIF","3"
"711","CIG","2.36"
"712","CIH","1.46"
"713","CII","21.64"
"714","CIK","3.52"
"715","CIL","45.8369"
"716","CIM","16.8"
"717","CIO","18.11"
"718","CIR","34.66"
"719","CIT","52.09"
"720","CIX","22.56"
"721","CIZ","34.85"
"722","CKX","12.0901"
